,intensity,latitude,longitude,validTimeUtc
275,12000,-13.27228,141.35886,2018-12-04T10:30:19.099+0000
276,17000,-15.55489,144.36834,2018-12-04T10:29:32.534+0000
277,-14000,22.9919,38.70764,2018-12-04T10:30:14.405+0000
278,-2000,-15.39502,22.20705,2018-12-04T10:29:36.817+0000
279,6000,-22.94991,152.86615,2018-12-04T10:29:47.240+0000
280,-67000,-15.69005,143.95149,2018-12-04T10:29:57.390+0000
281,91000,37.17886,-172.92994,2018-12-04T10:30:01.739+0000
282,10000,-29.39112,128.5185,2018-12-04T10:30:14.065+0000
283,10000,-16.29032,26.36532,2018-12-04T10:29:57.082+0000
284,-13000,-21.71418,149.6681,2018-12-04T10:29:51.382+0000
285,7000,-15.54648,144.38119,2018-12-04T10:29:51.519+0000
286,-8000,-18.40384,127.56912,2018-12-04T10:30:02.839+0000
287,-10000,-22.42446,61.89217,2018-12-04T10:30:07.308+0000
288,23000,-24.58696,125.86549,2018-12-04T10:29:46.565+0000
289,3000,-16.53611,26.71715,2018-12-04T10:30:15.690+0000
290,-9000,-14.7688,126.72065,2018-12-04T10:29:33.487+0000
291,-47000,-27.10366,30.55573,2018-12-04T10:29:58.376+0000
292,-23000,-15.53904,125.7022,2018-12-04T10:30:02.747+0000
293,-10000,-21.66669,149.5643,2018-12-04T10:29:56.976+0000
294,16000,-2.29067,17.17749,2018-12-04T10:29:59.655+0000
295,30000,-13.42655,141.36954,2018-12-04T10:29:46.866+0000
296,-16000,-15.46085,22.16247,2018-12-04T10:30:04.820+0000
297,-1000,-31.77733,33.24841,2018-12-04T10:30:12.014+0000
298,13000,-21.75956,149.61916,2018-12-04T10:30:21.340+0000
299,-17000,-24.46469,121.67561,2018-12-04T10:29:30.286+0000
300,37000,-12.04087,134.54138,2018-12-04T10:29:52.202+0000
301,27000,-26.70592,126.69061,2018-12-04T10:30:24.813+0000
302,-103000,-28.84858,126.69058,2018-12-04T10:29:37.123+0000
303,-21000,20.33494,-94.02483,2018-12-04T10:29:41.792+0000
304,8000,-0.8514700000000001,34.58483,2018-12-04T10:30:04.933+0000
305,15000,22.23458,-93.052,2018-12-04T10:30:11.619+0000
306,-10000,-1.79703,33.55051,2018-12-04T10:29:33.420+0000
307,3000,-16.19001,26.23173,2018-12-04T10:29:47.942+0000
308,4000,-24.22308,125.42018,2018-12-04T10:30:15.878+0000
309,-35000,-15.69848,144.30825,2018-12-04T10:29:56.613+0000
310,-27000,-31.6209,33.82353,2018-12-04T10:30:11.413+0000
311,-23000,-28.09628,130.21132,2018-12-04T10:29:34.660+0000
312,-5000,10.16646,94.2314,2018-12-04T10:29:51.583+0000
313,11000,-15.57657,144.01859,2018-12-04T10:29:37.445+0000
314,-75000,3.8993,-26.13911,2018-12-04T10:29:59.999+0000
315,3000,-14.50929,20.99592,2018-12-04T10:30:00.078+0000
